Time,Token,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00+00:00,BUSD,147.0,198.0,30.0,36.0,41.0,1091.998217,1477.460646,34.43204626,0.0,32.25416361
2022-07-30T00:00:00+00:00,BUSD,51.0,25006.0,27.0,28.0,33.0,385.4624294,12510258.42,0.0,-2.17788265,99115.40916
2022-07-29T00:00:00+00:00,BUSD,168.0,24955.0,36.0,51.0,60.0,1730.759742,12509872.95,40.92417122,0.0,99117.58704
2022-07-28T00:00:00+00:00,BUSD,102.0,24787.0,32.0,38.0,45.0,1135.405897,12508142.19,43.80130992,0.0,99076.66287
2022-07-27T00:00:00+00:00,BUSD,122.0,24685.0,33.0,42.0,46.0,380.4301917,12507006.79,15.18834626,0.0,99032.86156
2022-07-26T00:00:00+00:00,BUSD,56.0,24563.0,29.0,30.0,39.0,3544.437467,12506626.36,423.9555131,0.0,99017.67321
2022-07-25T00:00:00+00:00,BUSD,71.0,24507.0,31.0,40.0,44.0,2814.65631,12503081.92,180.9527437,0.0,98593.7177
2022-07-24T00:00:00+00:00,BUSD,43.0,24436.0,21.0,27.0,29.0,2961.09375,12500267.26,0.0,-0.05,98412.76495
2022-07-23T00:00:00+00:00,BUSD,23.0,24393.0,18.0,18.0,23.0,1724.581027,12497306.17,6.58772178,0.0,98412.81495
2022-07-22T00:00:00+00:00,BUSD,84.0,24370.0,26.0,30.0,34.0,146.7668036,12495581.59,0.0,0.0,98406.22723
2022-07-21T00:00:00+00:00,BUSD,72.0,24286.0,28.0,33.0,39.0,246.05524,12495434.82,0.0,0.0,98406.22723
2022-07-20T00:00:00+00:00,BUSD,127.0,24214.0,40.0,46.0,55.0,460.6085893,12495188.77,0.0,0.0,98406.22723
2022-07-19T00:00:00+00:00,BUSD,225.0,24087.0,45.0,45.0,54.0,487.9013578,12494728.16,31.22432172,0.0,98406.22723
2022-07-18T00:00:00+00:00,BUSD,97.0,23862.0,35.0,36.0,46.0,498.3936557,12494240.26,0.0,0.0,98375.00291
2022-07-17T00:00:00+00:00,BUSD,60.0,23765.0,35.0,35.0,45.0,393.2751149,12493741.86,0.0,0.0,98375.00291
2022-07-16T00:00:00+00:00,BUSD,57.0,23705.0,26.0,30.0,38.0,76.82193314,12493348.59,12.01382349,0.0,98375.00291
2022-07-15T00:00:00+00:00,BUSD,61.0,23648.0,24.0,28.0,32.0,171.0777575,12493271.77,0.0,0.0,98362.98909
2022-07-14T00:00:00+00:00,BUSD,97.0,23587.0,26.0,30.0,36.0,205.3895325,12493100.69,0.0,0.0,98362.98909
2022-07-13T00:00:00+00:00,BUSD,196.0,23490.0,40.0,50.0,56.0,488.4996973,12492895.3,10.46613669,0.0,98362.98909
2022-07-12T00:00:00+00:00,BUSD,83.0,23294.0,22.0,32.0,36.0,425.951265,12492406.8,7.16384029,0.0,98352.52295
2022-07-11T00:00:00+00:00,BUSD,24.0,23211.0,14.0,15.0,16.0,36.82945895,12491980.85,0.0,0.0,98345.35911
2022-07-10T00:00:00+00:00,BUSD,35.0,23187.0,18.0,20.0,22.0,20967.49895,12491944.02,10380.0,-10380.0,98345.35911
2022-07-09T00:00:00+00:00,BUSD,37.0,23152.0,22.0,26.0,27.0,295.2347736,12470976.52,0.0,0.0,98345.35911
2022-07-08T00:00:00+00:00,BUSD,63.0,23115.0,26.0,25.0,30.0,130.4754551,12470681.29,0.0,0.0,98345.35911
2022-07-07T00:00:00+00:00,BUSD,68.0,23052.0,31.0,32.0,44.0,110.0852124,12470550.81,0.0,-6.779919107,98345.35911
2022-07-06T00:00:00+00:00,BUSD,53.0,22984.0,24.0,26.0,32.0,68.54790162,12470440.72,0.0,0.0,98352.13903
2022-07-05T00:00:00+00:00,BUSD,88.0,22931.0,23.0,30.0,36.0,103.5968857,12470372.18,0.0,0.0,98352.13903
2022-07-04T00:00:00+00:00,BUSD,74.0,22843.0,29.0,28.0,36.0,1838.669887,12470268.58,0.0,0.0,98352.13903
2022-07-03T00:00:00+00:00,BUSD,83.0,22769.0,27.0,28.0,35.0,751.0465988,12468429.91,0.0,0.0,98352.13903
2022-07-02T00:00:00+00:00,BUSD,152.0,22686.0,37.0,46.0,50.0,196.287837,12467678.86,0.0,0.0,98352.13903
2022-07-01T00:00:00+00:00,BUSD,96.0,22534.0,25.0,29.0,34.0,172.9236598,12467482.58,0.0,0.0,98352.13903
2022-06-30T00:00:00+00:00,BUSD,209.0,22438.0,41.0,48.0,50.0,808.4755001,12467309.65,0.0,0.0,98352.13903
2022-06-29T00:00:00+00:00,BUSD,79.0,22229.0,21.0,29.0,33.0,108.7123755,12466501.18,0.0,0.0,98352.13903
2022-06-28T00:00:00+00:00,BUSD,85.0,22150.0,31.0,38.0,44.0,223.7913425,12466392.46,0.0,0.0,98352.13903
2022-06-27T00:00:00+00:00,BUSD,34.0,22065.0,24.0,27.0,32.0,144.1433874,12466168.67,0.0,0.0,98352.13903
2022-06-26T00:00:00+00:00,BUSD,553.0,22031.0,43.0,49.0,55.0,455.9524148,12466024.53,0.0,0.0,98352.13903
